year,month,value
1918,10,0.219171568627
1918,11,0.276171568627
1918,12,0.0911715686275
1919,1,0.219171568627
1919,2,0.234171568627
1919,3,0.0111715686275
1919,4,0.238171568627
1919,5,0.0511715686275
1919,6,0.0641715686275
1919,7,-0.0488284313725
1919,8,-0.0138284313725
1919,9,0.0841715686275
1919,10,0.0111715686275
1919,11,-0.220828431373
1919,12,-0.142828431373
1920,1,0.0781715686275
1920,2,-0.104828431373
1920,3,0.203171568627
1920,4,0.0581715686275
1920,5,0.125171568627
1920,6,0.103171568627
1920,7,0.0271715686275
1920,8,0.0871715686275
1920,9,0.184171568627
1920,10,0.0891715686275
1920,11,0.0321715686275
1920,12,-0.0268284313725
1921,1,0.178171568627
1921,2,0.134171568627
1921,3,0.0651715686275
1921,4,0.0911715686275
1921,5,0.112171568627
1921,6,0.194171568627
1921,7,0.174171568627
1921,8,0.0341715686275
1921,9,0.151171568627
1921,10,0.174171568627
1921,11,0.0141715686275
1921,12,0.168171568627
1922,1,-0.0818284313725
1922,2,0.0381715686275
1922,3,0.0461715686275
1922,4,0.0801715686275
1922,5,-0.0628284313725
1922,6,-0.00982843137255
1922,7,0.0881715686275
1922,8,-0.0328284313725
1922,9,0.0341715686275
1922,10,-0.00982843137255
1922,11,0.0271715686275
1922,12,0.0131715686275
1923,1,0.0861715686275
1923,2,-0.0948284313725
1923,3,-0.0908284313725
1923,4,-0.0418284313725
1923,5,-0.00382843137255
1923,6,0.0721715686275
1923,7,-0.0368284313725
1923,8,-0.0638284313725
1923,9,-0.00782843137255
1923,10,0.0471715686275
1923,11,0.296171568627
1923,12,0.308171568627
1924,1,0.00117156862745
1924,2,0.114171568627
1924,3,0.0451715686275
1924,4,0.0331715686275
1924,5,0.0741715686275
1924,6,0.0981715686275
1924,7,0.0511715686275
1924,8,0.0371715686275
1924,9,0.0341715686275
1924,10,0.00417156862745
1924,11,-0.0448284313725
1924,12,-0.209828431373
1925,1,-0.0848284313725
1925,2,0.0121715686275
1925,3,0.0921715686275
1925,4,0.0391715686275
1925,5,0.0571715686275
1925,6,0.0571715686275
1925,7,0.0961715686275
1925,8,0.186171568627
1925,9,0.126171568627
1925,10,0.00917156862745
1925,11,0.260171568627
1925,12,0.320171568627
1926,1,0.403171568627
1926,2,0.272171568627
1926,3,0.291171568627
1926,4,0.141171568627
1926,5,0.100171568627
1926,6,0.226171568627
1926,7,0.0791715686275
1926,8,0.229171568627
1926,9,0.212171568627
1926,10,0.230171568627
1926,11,0.205171568627
1926,12,0.0821715686275
1927,1,0.0601715686275
1927,2,0.170171568627
1927,3,-0.00982843137255
1927,4,0.0581715686275
1927,5,0.0581715686275
1927,6,0.0781715686275
1927,7,0.170171568627
1927,8,0.172171568627
1927,9,0.182171568627
1927,10,0.274171568627
1927,11,0.141171568627
1927,12,-0.110828431373
1928,1,0.264171568627
1928,2,0.176171568627
1928,3,-0.0238284313725
1928,4,0.0611715686275
1928,5,0.0321715686275
1928,6,-0.0278284313725
1928,7,0.150171568627
1928,8,0.140171568627
1928,9,0.0941715686275
1928,10,0.149171568627
1928,11,0.163171568627
1928,12,0.0781715686275
1929,1,-0.165828431373
1929,2,-0.347828431373
1929,3,-0.0938284313725
1929,4,-0.0728284313725
1929,5,-0.0728284313725
1929,6,-0.0338284313725
1929,7,-0.0458284313725
1929,8,0.126171568627
1929,9,0.0501715686275
1929,10,0.137171568627
1929,11,0.243171568627
1929,12,-0.155828431373
1930,1,-0.0118284313725
1930,2,0.0261715686275
1930,3,0.161171568627
1930,4,0.125171568627
1930,5,0.117171568627
1930,6,0.152171568627
1930,7,0.194171568627
1930,8,0.259171568627
1930,9,0.238171568627
1930,10,0.225171568627
1930,11,0.395171568627
1930,12,0.245171568627
1931,1,0.313171568627
1931,2,0.167171568627
1931,3,0.195171568627
1931,4,0.136171568627
1931,5,0.153171568627
1931,6,0.280171568627
1931,7,0.321171568627
1931,8,0.266171568627
1931,9,0.267171568627
1931,10,0.274171568627
1931,11,0.167171568627
1931,12,0.214171568627
1932,1,0.476171568627
1932,2,0.122171568627
1932,3,0.0741715686275
1932,4,0.251171568627
1932,5,0.146171568627
1932,6,0.122171568627
1932,7,0.185171568627
1932,8,0.116171568627
1932,9,0.275171568627
1932,10,0.143171568627
1932,11,0.0871715686275
1932,12,0.122171568627
1933,1,0.0301715686275
1933,2,-0.00182843137255
1933,3,-0.0258284313725
1933,4,0.0981715686275
1933,5,0.102171568627
1933,6,0.0541715686275
1933,7,0.129171568627
1933,8,0.138171568627
1933,9,0.0801715686275
1933,10,0.119171568627
1933,11,0.00817156862745
1933,12,-0.210828431373
1934,1,0.0981715686275
1934,2,0.151171568627
1934,3,-0.0738284313725
1934,4,0.0681715686275
1934,5,0.235171568627
1934,6,0.273171568627
1934,7,0.249171568627
1934,8,0.255171568627
1934,9,0.217171568627
1934,10,0.229171568627
1934,11,0.339171568627
1934,12,0.181171568627
1935,1,0.0891715686275
1935,2,0.418171568627
1935,3,0.0891715686275
1935,4,0.0501715686275
1935,5,0.0731715686275
1935,6,0.129171568627
1935,7,0.173171568627
1935,8,0.162171568627
1935,9,0.175171568627
1935,10,0.240171568627
1935,11,0.0211715686275
1935,12,0.0551715686275
1936,1,0.0161715686275
1936,2,-0.0418284313725
1936,3,0.0191715686275
1936,4,0.113171568627
1936,5,0.165171568627
1936,6,0.152171568627
1936,7,0.294171568627
1936,8,0.272171568627
1936,9,0.210171568627
1936,10,0.314171568627
1936,11,0.249171568627
1936,12,0.306171568627
1937,1,0.187171568627
1937,2,0.351171568627
1937,3,0.0441715686275
1937,4,0.189171568627
1937,5,0.237171568627
1937,6,0.305171568627
1937,7,0.364171568627
1937,8,0.398171568627
1937,9,0.427171568627
1937,10,0.437171568627
1937,11,0.321171568627
1937,12,0.217171568627
1938,1,0.334171568627
1938,2,0.337171568627
1938,3,0.379171568627
1938,4,0.398171568627
1938,5,0.226171568627
1938,6,0.254171568627
1938,7,0.268171568627
1938,8,0.326171568627
1938,9,0.372171568627
1938,10,0.461171568627
1938,11,0.334171568627
1938,12,0.0251715686275
1939,1,0.244171568627
1939,2,0.272171568627
1939,3,0.0581715686275
1939,4,0.221171568627
1939,5,0.287171568627
1939,6,0.378171568627
1939,7,0.365171568627
1939,8,0.353171568627
1939,9,0.240171568627
1939,10,0.0421715686275
1939,11,0.193171568627
1939,12,0.538171568627
1940,1,0.133171568627
1940,2,0.275171568627
1940,3,0.200171568627
1940,4,0.371171568627
